MOJI,NUMBER,YEAR
日本橋東３丁目,4,2015
塩草１丁目,3,2015
日本橋５丁目,3,2015
難波中３丁目,2,2015
下寺２丁目,1,2015
恵美須西１丁目,1,2015
恵美須西２丁目,1,2015
恵美須東３丁目,1,2015
大国１丁目,1,2015
大国２丁目,1,2015
難波中２丁目,1,2015
日本橋４丁目,1,2015
日本橋東２丁目,1,2015
敷津西１丁目,1,2015
敷津西２丁目,1,2015
湊町１丁目,1,2015
浪速西２丁目,1,2015
浪速東２丁目,1,2015
大国２丁目,6,2016
塩草１丁目,3,2016
下寺３丁目,2,2016
日本橋東３丁目,2,2016
塩草３丁目,1,2016
恵美須西１丁目,1,2016
恵美須西３丁目,1,2016
元町２丁目,1,2016
大国３丁目,1,2016
敷津西１丁目,1,2016
湊町２丁目,1,2016
浪速東３丁目,1,2016
大国２丁目,2,2017
下寺２丁目,1,2017
久保吉２丁目,1,2017
恵美須西３丁目,1,2017
戎本町１丁目,1,2017
大国１丁目,1,2017
難波中２丁目,1,2017
日本橋４丁目,1,2017
日本橋東３丁目,1,2017
日本橋東3丁目,1,2017
