MOJI,YEAR,MONTH,INCIDENT,TIME
日本橋東３丁目,2015年,1月,不審者情報,4時頃
日本橋東３丁目,2015年,1月,痴漢,21時頃
恵美須東２丁目,2015年,1月,痴漢,4時頃
大国１丁目,2015年,1月,痴漢,23時頃
湊町１丁目,2015年,2月,公然わいせつ,23時頃
元町３丁目,2015年,3月,痴漢,7時頃
敷津西２丁目,2015年,3月,痴漢,21時頃
日本橋東１丁目,2015年,3月,公然わいせつ,4時頃
元町１丁目,2015年,4月,痴漢,4時頃
下寺３丁目,2015年,4月,公然わいせつ,10時頃
幸町２丁目,2015年,4月,公然わいせつ,4時頃
日本橋東３丁目,2015年,4月,痴漢,13時頃
日本橋東２丁目,2015年,5月,痴漢,23時頃
恵美須西２丁目,2015年,5月,痴漢,0時頃
難波千日前,2015年,5月,公然わいせつ,5時頃
日本橋東３丁目,2015年,5月,不審者情報,19時頃
元町２丁目,2015年,5月,痴漢,2時頃
桜川２丁目,2015年,5月,痴漢,1時頃
日本橋５丁目,2015年,5月,痴漢,3時頃
下寺１丁目,2015年,5月,痴漢,19時頃
難波中３丁目,2015年,5月,痴漢,3時頃
日本橋３丁目,2015年,5月,痴漢,2時頃
敷津西１丁目,2015年,6月,痴漢,5時頃
桜川４丁目,2015年,6月,痴漢,22時頃
幸町３丁目,2015年,6月,痴漢,21時頃
桜川２丁目,2015年,6月,痴漢,22時頃
桜川４丁目,2015年,6月,痴漢,22時頃
元町２丁目,2015年,6月,痴漢,12時頃
日本橋５丁目,2015年,6月,声かけ事案,22時頃
敷津西２丁目,2015年,7月,公然わいせつ,20時頃
稲荷１丁目,2015年,7月,つきまとい事案,5時頃
日本橋西１丁目,2015年,7月,痴漢,0時頃
桜川４丁目,2015年,7月,痴漢,0時頃
桜川４丁目,2015年,7月,公然わいせつ,14時頃
恵美須西２丁目,2015年,8月,不審者情報,10時頃
元町３丁目,2015年,8月,公然わいせつ,2時頃
浪速東３丁目,2015年,8月,公然わいせつ,22時頃
戎本町２丁目,2015年,8月,公然わいせつ,21時頃
幸町２丁目,2015年,8月,痴漢,21時頃
恵美須西３丁目,2015年,8月,痴漢,18時頃
桜川２丁目,2015年,8月,公然わいせつ,22時頃
