MOJI,YEAR,MONTH,TIME,INCIDENT
桜川２丁目,2017年,1月,0時頃,痴漢
日本橋東３丁目,2017年,1月,19時頃,公然わいせつ
日本橋３丁目,2017年,2月,3時頃,つきまとい事案
敷津西２丁目,2017年,3月,15時頃,声かけ事案
敷津西１丁目,2017年,3月,10時頃,不審者情報
稲荷１丁目,2017年,3月,0時頃,公然わいせつ
湊町１丁目,2017年,3月,8時頃,声かけ事案
元町２丁目,2017年,3月,1時頃,つきまとい事案
塩草１丁目,2017年,4月,1時頃,公然わいせつ
大国１丁目,2017年,4月,4時頃,痴漢
桜川１丁目,2017年,4月,4時頃,公然わいせつ
幸町３丁目,2017年,4月,3時頃,痴漢
日本橋東１丁目,2017年,4月,4時頃,公然わいせつ
久保吉２丁目,2017年,4月,0時頃,公然わいせつ
日本橋西２丁目,2017年,4月,14時頃,不審者情報
恵美須東１丁目,2017年,4月,4時頃,痴漢
塩草２丁目,2017年,4月,1時頃,公然わいせつ
塩草３丁目,2017年,5月,19時頃,不審者情報
恵美須東３丁目,2017年,5月,7時頃,公然わいせつ
恵美須東３丁目,2017年,5月,1時頃,公然わいせつ
芦原１丁目,2017年,5月,4時頃,つきまとい事案
日本橋西１丁目,2017年,5月,3時頃,公然わいせつ
戎本町１丁目,2017年,5月,2時頃,痴漢
恵美須西２丁目,2017年,6月,20時頃,痴漢
戎本町２丁目,2017年,6月,19時頃,公然わいせつ
下寺１丁目,2017年,6月,20時頃,声かけ事案
日本橋４丁目,2017年,6月,18時頃,公然わいせつ
日本橋４丁目,2017年,6月,7時頃,痴漢
稲荷１丁目,2017年,6月,2時頃,痴漢
港町１丁目,2017年,6月,22時頃,痴漢
大国町１丁目,2017年,6月,4時頃,公然わいせつ
元町１丁目,2017年,6月,2時頃,公然わいせつ
敷津西２丁目,2017年,7月,23時頃,公然わいせつ
塩草１丁目,2017年,7月,1時頃,公然わいせつ
大国２丁目,2017年,7月,22時頃,公然わいせつ
日本橋西２丁目,2017年,7月,0時頃,痴漢
桜川１丁目,2017年,7月,2時頃,痴漢
大国町,2017年,7月,4時頃,公然わいせつ
難波中３丁目,2017年,7月,17時頃,痴漢
難波中２丁目,2017年,7月,18時頃,痴漢
大国３丁目,2017年,8月,2時頃,痴漢
大国２丁目,2017年,8月,9時頃,痴漢
恵美須東１丁目,2017年,8月,17時頃,痴漢
元町１丁目,2017年,9月,19時頃,公然わいせつ
大国１丁目,2017年,9月,8時頃,痴漢
日本橋４丁目,2017年,9月,16時頃,公然わいせつ
戎本町,2017年,9月,3時頃,公然わいせつ
戎本町２丁目,2017年,9月,1時頃,公然わいせつ
立葉２丁目,2017年,9月,2時頃,公然わいせつ
大国１丁目,2017年,10月,2時頃,強制わいせつ
戎本町,2017年,10月,1時頃,公然わいせつ
立葉１丁目,2017年,10月,23時頃,痴漢
元町３丁目,2017年,10月,2時頃,公然わいせつ
敷津西２丁目,2017年,10月,16時頃,痴漢
大国２丁目,2017年,11月,21時頃,公然わいせつ
日本橋３丁目,2017年,11月,23時頃,痴漢
