KEY_CODE,MOJI,TOTAL,TOTAL0_4,TOTAL5_9,TOTAL10_14,総数１５～１９歳,総数２０～２４歳,総数２５～２９歳,総数３０～３４歳,総数３５～３９歳,総数４０～４４歳,総数４５～４９歳,総数５０～５４歳,総数５５～５９歳,総数６０～６４歳,総数６５～６９歳,総数７０～７４歳,総数１５歳未満,総数１５～６４歳,総数６５歳以上,総数７５歳以上,男の総数、年齢「不詳」含む,MALE0_4,MALE5_9,MALE10_14,男１５～１９歳,男２０～２４歳,男２５～２９歳,男３０～３４歳,男３５～３９歳,男４０～４４歳,男４５～４９歳,男５０～５４歳,男５５～５９歳,男６０～６４歳,男６５～６９歳,男７０～７４歳,男１５歳未満,男１５～６４歳,男６５歳以上,男７５歳以上,女の総数、年齢「不詳」含む,FEMALE0_4,FEMALE5_9,FEMALE10_14,女１５～１９歳,女２０～２４歳,女２５～２９歳,女３０～３４歳,女３５～３９歳,女４０～４４歳,女４５～４９歳,女５０～５４歳,女５５～５９歳,女６０～６４歳,女６５～６９歳,女７０～７４歳,女１５歳未満,女１５～６４歳,女６５歳以上,女７５歳以上
27111001001,下寺１丁目,1288,35,18,11,39,126,209,143,135,99,59,48,60,49,66,39,64,967,162,57,673,17,12,6,21,51,110,76,76,62,34,25,31,29,38,18,35,515,74,18,615,18,6,5,18,75,99,67,59,37,25,23,29,20,28,21,29,452,88,39
27111001002,下寺２丁目,1414,80,58,36,23,105,176,188,176,129,76,68,57,46,44,35,174,1044,129,50,695,48,29,12,10,49,72,98,82,65,48,39,29,25,22,12,89,517,54,20,719,32,29,24,13,56,104,90,94,64,28,29,28,21,22,23,85,527,75,30
27111001003,下寺３丁目,1542,60,46,33,42,111,189,166,137,123,96,84,70,71,94,59,139,1089,238,85,857,34,25,21,22,51,108,90,85,79,58,55,40,36,51,30,80,624,120,39,685,26,21,12,20,60,81,76,52,44,38,29,30,35,43,29,59,465,118,46
27111002001,日本橋東１丁目,869,15,18,6,25,64,95,85,64,62,54,51,46,51,63,64,39,597,216,89,464,8,9,2,16,40,53,51,35,37,26,26,27,29,28,35,19,340,99,36,405,7,9,4,9,24,42,34,29,25,28,25,19,22,35,29,20,257,117,53
27111002002,日本橋東２丁目,522,16,7,5,11,45,64,68,43,43,20,32,11,25,41,21,28,362,103,41,254,9,6,3,3,14,27,38,23,25,7,20,6,11,25,11,18,174,49,13,268,7,1,2,8,31,37,30,20,18,13,12,5,14,16,10,10,188,54,28
27111002003,日本橋東３丁目,1738,47,58,52,66,140,165,134,110,127,114,90,84,67,102,105,157,1097,381,174,885,28,31,30,44,56,77,76,64,61,63,42,51,41,58,46,89,575,170,66,853,19,27,22,22,84,88,58,46,66,51,48,33,26,44,59,68,522,211,108
27111003003,日本橋３丁目,742,5,4,8,8,73,141,100,58,52,36,31,24,29,31,20,17,552,72,21,376,3,0,4,5,33,64,59,31,33,16,18,14,18,15,11,7,291,30,4,366,2,4,4,3,40,77,41,27,19,20,13,10,11,16,9,10,261,42,17
27111003004,日本橋４丁目,1005,20,13,23,22,75,106,107,86,73,60,59,34,56,60,58,56,678,215,97,498,9,6,5,11,37,58,53,59,36,31,32,17,30,24,32,20,364,85,29,507,11,7,18,11,38,48,54,27,37,29,27,17,26,36,26,36,314,130,68
27111003005,日本橋５丁目,2063,29,43,42,59,112,198,157,111,152,104,71,93,133,169,136,114,1190,658,353,977,15,21,19,27,48,101,97,54,81,55,38,45,64,81,59,55,610,258,118,1086,14,22,23,32,64,97,60,57,71,49,33,48,69,88,77,59,580,400,235
27111004001,日本橋西１丁目,517,3,5,5,6,61,79,73,51,36,19,23,21,18,23,13,13,387,62,26,273,2,2,2,2,25,40,46,31,25,14,10,11,11,13,6,6,215,27,8,244,1,3,3,4,36,39,27,20,11,5,13,10,7,10,7,7,172,35,18
27111004002,日本橋西２丁目,723,26,19,17,22,48,58,71,52,38,47,35,37,40,59,42,62,448,201,100,363,13,13,8,10,25,31,35,33,19,31,13,17,20,31,15,34,234,91,45,360,13,6,9,12,23,27,36,19,19,16,22,20,20,28,27,28,214,110,55
27111005001,恵美須東１丁目,975,15,13,14,23,73,80,64,55,65,56,46,71,61,84,71,42,594,295,140,576,10,7,8,9,38,49,41,31,41,34,31,44,44,54,40,25,362,161,67,399,5,6,6,14,35,31,23,24,24,22,15,27,17,30,31,17,232,134,73
27111005002,恵美須東２丁目,696,7,4,10,5,64,52,37,33,42,45,42,32,51,89,76,21,403,248,83,485,2,4,6,5,45,35,26,23,29,32,25,25,41,72,52,12,286,172,48,211,5,0,4,0,19,17,11,10,13,13,17,7,10,17,24,9,117,76,35
27111005003,恵美須東３丁目,266,4,3,2,9,12,11,12,7,14,17,21,19,28,21,28,9,150,94,45,163,1,2,1,6,6,6,6,4,9,12,14,13,21,17,21,4,97,57,19,103,3,1,1,3,6,5,6,3,5,5,7,6,7,4,7,5,53,37,26
27111006001,恵美須西１丁目,764,13,11,9,16,103,94,83,53,54,35,39,37,28,40,35,33,542,118,43,421,6,6,6,7,52,58,50,29,33,21,20,21,16,22,19,18,307,60,19,343,7,5,3,9,51,36,33,24,21,14,19,16,12,18,16,15,235,58,24
27111006002,恵美須西２丁目,1766,48,19,20,38,130,205,172,147,116,113,100,92,119,112,114,87,1232,358,132,1080,33,11,9,14,67,116,100,97,75,75,67,64,87,78,67,53,762,210,65,686,15,8,11,24,63,89,72,50,41,38,33,28,32,34,47,34,470,148,67
27111006003,恵美須西３丁目,3016,45,22,54,75,201,238,187,147,209,206,185,177,265,303,253,121,1890,934,378,1984,26,6,27,34,104,145,126,96,147,149,120,126,208,221,175,59,1255,630,234,1032,19,16,27,41,97,93,61,51,62,57,65,51,57,82,78,62,635,304,144
27111007001,難波中１丁目,231,1,2,1,5,9,20,28,22,20,11,16,7,8,21,8,4,146,62,33,114,0,1,0,2,5,9,14,16,9,5,10,2,6,12,5,1,78,27,10,117,1,1,1,3,4,11,14,6,11,6,6,5,2,9,3,3,68,35,23
27111007002,難波中２丁目,766,21,15,9,8,37,63,71,64,71,66,38,54,63,54,23,45,535,129,52,385,10,8,8,6,13,30,35,39,33,34,18,32,33,27,9,26,273,57,21,381,11,7,1,2,24,33,36,25,38,32,20,22,30,27,14,19,262,72,31
27111007003,難波中３丁目,1608,64,34,21,35,166,225,209,168,122,88,74,57,58,81,27,119,1202,176,68,787,37,19,14,16,70,95,114,88,55,49,31,31,28,48,12,70,577,81,21,821,27,15,7,19,96,130,95,80,67,39,43,26,30,33,15,49,625,95,47
27111008001,元町１丁目,1535,67,30,17,17,108,209,209,170,111,90,69,62,45,71,46,114,1090,196,79,737,37,17,9,8,35,82,97,93,64,52,36,27,26,26,21,63,520,77,30,798,30,13,8,9,73,127,112,77,47,38,33,35,19,45,25,51,570,119,49
27111008002,元町２丁目,1459,38,25,22,70,158,208,175,110,89,85,53,60,55,61,66,85,1063,212,85,705,22,16,7,25,60,88,96,62,44,45,31,34,27,34,32,45,512,94,28,754,16,9,15,45,98,120,79,48,45,40,22,26,28,27,34,40,551,118,57
27111008003,元町３丁目,1824,44,26,19,45,181,306,239,157,125,81,73,76,88,73,62,89,1371,222,87,934,23,10,10,20,89,150,128,90,75,48,35,42,43,39,31,43,720,101,31,890,21,16,9,25,92,156,111,67,50,33,38,34,45,34,31,46,651,121,56
27111009001,湊町１丁目,1130,52,20,37,25,23,40,46,74,107,123,107,83,83,109,63,109,711,267,95,519,29,10,18,13,10,20,18,34,47,49,51,37,41,45,28,57,320,116,43,611,23,10,19,12,13,20,28,40,60,74,56,46,42,64,35,52,391,151,52
27111009002,湊町２丁目,2241,128,70,57,56,63,139,252,201,249,195,217,147,121,83,54,255,1640,253,116,1060,60,34,26,30,20,54,112,97,129,84,106,69,68,46,27,120,769,123,50,1181,68,36,31,26,43,85,140,104,120,111,111,78,53,37,27,135,871,130,66
27111010001,敷津東１丁目,419,7,6,12,11,76,60,52,24,41,22,9,17,15,12,13,25,327,38,13,225,4,2,4,5,39,36,31,13,23,15,2,13,7,6,7,10,184,18,5,194,3,4,8,6,37,24,21,11,18,7,7,4,8,6,6,15,143,20,8
27111010002,敷津東２丁目,1025,47,14,8,12,71,123,125,101,81,86,67,45,49,41,36,69,760,137,60,525,27,8,3,5,29,56,57,60,38,50,36,25,30,23,24,38,386,70,23,500,20,6,5,7,42,67,68,41,43,36,31,20,19,18,12,31,374,67,37
